
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING       1616
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:2179           0.0.0.0:0              LISTENING       3524
  TCP    0.0.0.0:5040           0.0.0.0:0              LISTENING       10328
  TCP    0.0.0.0:7070           0.0.0.0:0              LISTENING       5516
  TCP    0.0.0.0:8080           0.0.0.0:0              LISTENING       24644
  TCP    0.0.0.0:9042           0.0.0.0:0              LISTENING       11240
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING       1264
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING       1156
  TCP    0.0.0.0:49666          0.0.0.0:0              LISTENING       2892
  TCP    0.0.0.0:49667          0.0.0.0:0              LISTENING       3692
  TCP    0.0.0.0:49670          0.0.0.0:0              LISTENING       4948
  TCP    0.0.0.0:49682          0.0.0.0:0              LISTENING       1228
  TCP    127.0.0.1:2372         0.0.0.0:0              LISTENING       5652
  TCP    127.0.0.1:3000         0.0.0.0:0              LISTENING       7812
  TCP    127.0.0.1:5354         0.0.0.0:0              LISTENING       5612
  TCP    127.0.0.1:5354         127.0.0.1:49671        ESTABLISHED     5612
  TCP    127.0.0.1:5354         127.0.0.1:49673        ESTABLISHED     5612
  TCP    127.0.0.1:9010         0.0.0.0:0              LISTENING       8596
  TCP    127.0.0.1:9042         127.0.0.1:40688        ESTABLISHED     11240
  TCP    127.0.0.1:9042         127.0.0.1:40689        ESTABLISHED     11240
  TCP    127.0.0.1:9042         127.0.0.1:40690        ESTABLISHED     11240
  TCP    127.0.0.1:9180         0.0.0.0:0              LISTENING       5744
  TCP    127.0.0.1:11374        127.0.0.1:11375        ESTABLISHED     7236
  TCP    127.0.0.1:11375        127.0.0.1:11374        ESTABLISHED     7236
  TCP    127.0.0.1:11386        127.0.0.1:11387        ESTABLISHED     13780
  TCP    127.0.0.1:11387        127.0.0.1:11386        ESTABLISHED     13780
  TCP    127.0.0.1:13295        0.0.0.0:0              LISTENING       2256
  TCP    127.0.0.1:13295        127.0.0.1:13296        ESTABLISHED     2256
  TCP    127.0.0.1:13295        127.0.0.1:13300        ESTABLISHED     2256
  TCP    127.0.0.1:13296        127.0.0.1:13295        ESTABLISHED     22432
  TCP    127.0.0.1:13300        127.0.0.1:13295        ESTABLISHED     22432
  TCP    127.0.0.1:27015        0.0.0.0:0              LISTENING       5476
  TCP    127.0.0.1:30647        0.0.0.0:0              LISTENING       6296
  TCP    127.0.0.1:30768        0.0.0.0:0              LISTENING       6296
  TCP    127.0.0.1:35797        0.0.0.0:0              LISTENING       19600
  TCP    127.0.0.1:40688        127.0.0.1:9042         ESTABLISHED     24644
  TCP    127.0.0.1:40689        127.0.0.1:9042         ESTABLISHED     24644
  TCP    127.0.0.1:40690        127.0.0.1:9042         ESTABLISHED     24644
  TCP    127.0.0.1:45654        0.0.0.0:0              LISTENING       8596
  TCP    127.0.0.1:45977        0.0.0.0:0              LISTENING       19600
  TCP    127.0.0.1:49151        0.0.0.0:0              LISTENING       16876
  TCP    127.0.0.1:49340        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:49341        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:49342        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:49344        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:49345        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:49346        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:49347        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:49348        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:49349        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:49350        0.0.0.0:0              LISTENING       22584
  TCP    127.0.0.1:49350        127.0.0.1:49741        CLOSE_WAIT      22584
  TCP    127.0.0.1:49350        127.0.0.1:49742        CLOSE_WAIT      22584
  TCP    127.0.0.1:49350        127.0.0.1:49744        CLOSE_WAIT      22584
  TCP    127.0.0.1:49350        127.0.0.1:49745        CLOSE_WAIT      22584
  TCP    127.0.0.1:49350        127.0.0.1:49746        CLOSE_WAIT      22584
  TCP    127.0.0.1:49350        127.0.0.1:49747        CLOSE_WAIT      22584
  TCP    127.0.0.1:49350        127.0.0.1:49748        CLOSE_WAIT      22584
  TCP    127.0.0.1:49350        127.0.0.1:49749        CLOSE_WAIT      22584
  TCP    127.0.0.1:49350        127.0.0.1:49750        CLOSE_WAIT      22584
  TCP    127.0.0.1:49350        127.0.0.1:49751        CLOSE_WAIT      22584
  TCP    127.0.0.1:49350        127.0.0.1:49752        CLOSE_WAIT      22584
  TCP    127.0.0.1:49351        0.0.0.0:0              LISTENING       5232
  TCP    127.0.0.1:49353        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:49354        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:49355        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:49356        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:49358        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:49359        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:49360        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:49362        127.0.0.1:49350        TIME_WAIT       0
